time,thermofilter_temp_c
1692625521439, 74
1692625521539, 72
1692625521639, 66
1692625521739, 63.25
1692625521839, 63.5
1692625521939, 66.5
1692625522039, 72
1692625522139, 72.5
1692625522239, 70.5
1692625522339, 69.5
1692625522439, 72
1692625522539, 71.75
1692625522639, 72.25
1692625522739, 73.25
1692625522839, 73.5
1692625522939, 73.5
1692625523039, 73.25
1692625523139, 72
1692625523239, 70.25
1692625523339, 69
1692625523439, 68.75
1692625523539, 68.25
1692625523639, 65.75
1692625523739, 64.5
1692625523839, 63.25
1692625523939, 64.75
1692625524039, 68.25
1692625524139, 69.75
1692625524239, 72
1692625524339, 71.75
1692625524439, 71
1692625524539, 71
1692625524639, 71.5
1692625524739, 72.75
1692625524839, 73
1692625524939, 73
1692625525039, 71.25
1692625525139, 69.75
1692625525239, 68.5
1692625525339, 67.5
1692625525439, 66.25
1692625525539, 65
1692625525639, 61.75
1692625525739, 61
1692625525839, 60.5
1692625525939, 58.5
1692625526039, 58
1692625526139, 58
1692625526239, 57.5
1692625526339, 57.25
1692625526440, 58.25
1692625526539, 58.75
1692625526639, 60
1692625526739, 59.5
1692625526839, 58.5
1692625526939, 58
1692625527039, 58.75
1692625527139, 57
1692625527239, 55.75
1692625527339, 57.75
1692625527439, 57.5
1692625527539, 57.25
1692625527639, 55.25
1692625527739, 54
1692625527839, 53.25
1692625527939, 53.75
1692625528039, 55.25
1692625528139, 57.5
1692625528239, 59.25
1692625528339, 58
1692625528439, 57.25
1692625528539, 55
1692625528639, 54
1692625528739, 53
1692625528839, 52.75
1692625528939, 52
1692625529039, 52.75
1692625529139, 54
1692625529239, 55.75
1692625529339, 59.25
1692625529439, 60.75
1692625529539, 62.25
1692625529639, 69
1692625529740, 71.5
1692625529839, 73.25
1692625529939, 75.25
1692625530039, 75.75
1692625530139, 76
1692625530239, 77.25
1692625530339, 77.5
1692625530439, 78
1692625530539, 78.75
1692625530639, 79
1692625530739, 79.5
1692625530839, 79.75
1692625530939, 80
1692625531039, 80.5
1692625531139, 80.75
1692625531239, 80.75
1692625531339, 81.25
1692625531439, 81.5
1692625531539, 81.5
1692625531641, 81.75
1692625531739, 82
1692625531839, 82
1692625531939, 82.5
1692625532039, 82.5
1692625532139, 82.75
1692625532239, 83
1692625532339, 83
1692625532439, 83
1692625532539, 83.5
1692625532639, 83.5
1692625532739, 83.75
1692625532839, 83.75
1692625532939, 83.75
1692625533039, 84
1692625533139, 84
1692625533239, 84.25
1692625533339, 84.5
1692625533440, 84.5
1692625533539, 84.5
1692625533639, 84.5
1692625533739, 84.75
1692625533839, 84.75
1692625533939, 85
1692625534039, 85
1692625534139, 84.75
1692625534239, 85.25
1692625534339, 85.25
1692625534439, 85.25
1692625534539, 85.5
1692625534640, 85.5
1692625534739, 85.5
1692625534839, 85.5
1692625534939, 85.75
1692625535039, 85.75
1692625535140, 85.75
1692625535239, 85.75
1692625535339, 86
1692625535439, 86
1692625535539, 86
1692625535639, 86.25
1692625535739, 86.25
1692625535839, 86
1692625535939, 86.25
1692625536039, 86.25
1692625536139, 86.25
1692625536239, 86.5
1692625536339, 86.5
1692625536439, 86.5
1692625536539, 86.5
1692625536639, 86.5
1692625536739, 86.75
1692625536839, 86.75
1692625536939, 86.75
1692625537039, 86.75
1692625537139, 86.75
1692625537239, 87
1692625537339, 87
1692625537439, 87
1692625537539, 87
1692625537639, 87.25
1692625537739, 87
1692625537839, 87
1692625537939, 87.25
1692625538039, 87.25
1692625538139, 87
1692625538239, 87.25
1692625538339, 87.25
1692625538439, 87.25
1692625538540, 87.5
1692625538639, 87.5
1692625538739, 87.5
1692625538839, 87.5
1692625538939, 87.5
1692625539039, 87.5
1692625539139, 87.5
1692625539239, 87.5
1692625539339, 87.75
1692625539439, 87.75
1692625539539, 87.75
1692625539639, 87.75
1692625539739, 88
1692625539839, 87.75
1692625539939, 87.75
1692625540039, 88
1692625540139, 88
1692625540239, 88
1692625540339, 88
1692625540439, 88
1692625540539, 88
1692625540639, 88
1692625540739, 88
1692625540839, 88
1692625540939, 88.25
1692625541039, 88
1692625541139, 88.25
1692625541239, 88.25
1692625541339, 88.25
1692625541439, 88.25
1692625541539, 88.25
1692625541639, 88.5
1692625541739, 88.25
1692625541841, 88.25
1692625541939, 88.5
1692625542039, 88.5
1692625542139, 88.25
1692625542239, 88.5
1692625542339, 88.5
1692625542439, 88.5
1692625542539, 88.5
1692625542639, 88.5
1692625542739, 88.5
1692625542839, 88.5
1692625542939, 88.75
1692625543039, 88.75
1692625543139, 88.75
1692625543239, 88.5
1692625543339, 88.75
1692625543439, 88.75
1692625543539, 88.75
1692625543639, 88.75
1692625543739, 88.75
1692625543839, 88.75
1692625543939, 88.75
1692625544039, 88.75
1692625544139, 88.75
1692625544239, 88.75
1692625544339, 89
1692625544439, 88.75
1692625544539, 89.25
1692625544639, 90.25
1692625544739, 90.75
1692625544839, 94.75
1692625544939, 96.75
1692625545039, 99.75
1692625545139, 97.5
1692625545239, 95.25
1692625545339, 95.75
1692625545439, 98.75
1692625545539, 99.25
1692625545639, 99.5
1692625545739, 99.75
1692625545839, 100.5
1692625545939, 100.25
1692625546039, 101
1692625546139, 101
1692625546239, 101.75
1692625546339, 102.25
1692625546439, 102.25
1692625546539, 102.75
