time,boiler_temp_c,grouphead_temp_c,heat_level
1692714231395,100.25,72.25,0.0
1692714231486,100.25,72.0,0.0
1692714231577,100.25,72.25,0.0
1692714231669,100.5,72.25,0.0
1692714231760,100.25,72.25,0.0
1692714231852,100.25,72.25,0.0
1692714231943,100.25,72.25,0.0
1692714232034,100.25,72.25,0.0
1692714232125,100.25,72.25,0.0
1692714232217,100.25,72.25,0.0
1692714232308,100.25,72.25,0.0
1692714232400,100.25,72.25,0.0
1692714232492,100.25,72.25,0.0
1692714232583,100.25,72.25,0.0
1692714232674,100.25,72.25,0.0
1692714232765,100.25,72.25,0.0
1692714232857,100.25,72.25,0.0
1692714232949,100.25,72.25,0.0
1692714233040,100.25,72.25,0.0
1692714233131,100.25,72.25,0.0
1692714233222,100.25,72.25,0.0
1692714233314,100.25,72.25,0.0
1692714233405,100.25,72.25,0.0
1692714233496,100.25,72.25,0.0
1692714233587,100.25,72.25,0.0
1692714233679,100.25,72.25,0.0
1692714233771,100.25,72.25,0.0
1692714233862,100.25,72.25,0.0
1692714233954,100.25,72.25,0.0
1692714234046,100.25,72.25,0.0
1692714234138,100.25,72.25,0.0
1692714234229,100.25,72.25,0.0
1692714234320,100.25,72.25,0.0
1692714234411,100.25,72.25,0.0
1692714234503,100.25,72.25,0.0
1692714234594,100.25,72.25,0.0
1692714234686,100.25,72.25,0.0
1692714234777,100.25,72.25,0.0
1692714234869,100.25,72.25,0.0
1692714234961,100.25,72.25,0.0
1692714235053,100.0,72.25,0.0
1692714235144,100.25,72.25,0.0
1692714235236,100.25,72.25,0.0
1692714235328,100.25,72.25,0.0
1692714235420,100.0,72.25,0.0
1692714235511,100.25,72.25,0.0
1692714235603,100.25,72.25,0.0
1692714235694,100.25,72.25,0.0
1692714235786,100.25,72.25,0.0
1692714235878,100.0,72.25,0.0
1692714235969,100.25,72.25,0.0
1692714236061,100.25,72.25,0.0
1692714236152,100.0,72.25,0.0
1692714236243,100.25,72.25,0.0
1692714236335,100.25,72.25,0.0
1692714236427,100.0,72.25,0.0
1692714236519,100.25,72.25,0.0
1692714236610,100.25,72.25,0.0
1692714236701,100.25,72.25,0.0
1692714236793,100.25,72.25,0.0
1692714236884,100.0,72.25,0.0
1692714236976,100.25,72.25,0.0
1692714237068,100.0,72.25,0.0
1692714237160,100.0,72.25,0.0
1692714237253,100.25,72.25,0.0
1692714237344,100.0,72.25,0.0
1692714237435,100.0,72.25,0.0
1692714237527,100.0,72.25,0.0
1692714237618,100.0,72.25,0.0
1692714237709,100.0,72.25,0.0
1692714237800,100.0,72.25,0.0
1692714237892,100.0,72.25,0.0
1692714237983,100.25,72.25,0.0
1692714238075,100.0,72.25,0.0
1692714238168,100.0,72.25,0.0
1692714238259,100.25,72.25,0.0
1692714238357,100.0,72.25,0.0
1692714238449,100.0,72.25,0.0
1692714238540,100.0,72.25,0.0
1692714238632,100.0,72.25,0.0
1692714238724,100.0,72.25,0.0
1692714238816,100.0,72.25,0.0
1692714238907,100.0,72.25,0.0
1692714238998,100.0,72.25,0.0
1692714239090,100.0,72.25,0.0
1692714239182,100.0,72.25,0.0
1692714239273,100.0,72.25,0.0
1692714239364,100.0,72.25,0.0
1692714239456,100.0,72.25,0.0
1692714239547,100.0,72.25,0.0
1692714239639,100.0,72.25,0.0
1692714239730,100.0,72.25,0.0
1692714239823,100.0,72.25,0.0
1692714239914,100.0,72.25,0.0
1692714240005,100.0,72.25,0.0
1692714240096,100.0,72.25,0.0
1692714240188,100.0,72.25,0.0
1692714240279,100.0,72.25,0.0
1692714240371,100.0,72.25,0.0
1692714240463,100.0,72.25,0.0
1692714240554,100.0,72.25,0.0
1692714240646,100.0,72.25,0.0
1692714240738,100.0,72.25,0.0
1692714240829,100.0,72.5,0.0
1692714240920,100.0,72.25,0.0
1692714241012,100.0,72.25,0.0
1692714241103,100.0,72.25,0.0
1692714241196,100.0,72.25,0.0
1692714241288,100.0,72.25,0.0
1692714241379,100.0,72.25,0.0
1692714241471,100.0,72.25,0.0
1692714241562,100.0,72.25,0.0
1692714241655,100.0,72.25,0.0
1692714241746,100.0,72.25,0.0
1692714241837,100.0,72.25,0.0
1692714241930,100.0,72.25,0.0
1692714242022,100.0,72.25,0.0
1692714242113,100.0,72.5,0.0
1692714242204,100.0,72.25,0.0
1692714242297,100.0,72.25,0.0
1692714242388,100.0,72.25,0.0
1692714242480,100.0,72.25,0.0
1692714242571,100.0,72.25,0.0
1692714242664,100.0,72.25,0.0
1692714242755,100.0,72.25,0.0
1692714242846,100.0,72.25,0.0
1692714242939,100.0,72.25,0.0
1692714243030,100.0,72.25,0.0
1692714243121,100.0,72.25,0.0
1692714243212,100.0,72.25,0.0
1692714243303,100.0,72.25,0.0
1692714243395,100.0,72.25,0.0
1692714243487,100.0,72.25,0.0
1692714243578,100.0,72.25,0.0
1692714243670,100.0,72.5,0.0
1692714243761,100.0,72.5,0.0
1692714243852,100.0,72.5,0.0
1692714243943,100.0,72.25,0.0
1692714244036,100.0,72.25,0.0
1692714244129,100.0,72.25,0.0
1692714244220,100.0,72.25,0.0
1692714244311,99.75,72.25,0.0
1692714244402,100.0,72.25,1.0
1692714244493,99.75,72.5,0.0
1692714244585,100.0,72.25,1.0
1692714244677,100.0,72.5,0.0
1692714244769,100.0,72.25,0.0
1692714244861,100.0,72.5,0.0
1692714244952,100.0,72.5,0.0
1692714245044,100.0,72.25,0.0
1692714245136,100.0,72.5,0.0
1692714245227,100.0,72.25,0.0
1692714245318,100.0,72.25,0.0
1692714245410,100.0,72.5,0.0
1692714245501,100.0,72.25,0.0
1692714245592,100.0,72.5,0.0
1692714245697,100.0,72.25,0.0
1692714245790,99.75,72.5,0.0
1692714245881,100.0,72.5,1.0
1692714245972,100.0,72.25,0.0
1692714246063,99.75,72.25,0.0
1692714246156,100.0,72.5,1.0
1692714246247,100.0,72.5,0.0
1692714246338,100.0,72.25,0.0
1692714246430,100.0,72.5,0.0
1692714246522,99.75,72.25,0.0
1692714246614,99.75,72.5,1.0
1692714246705,99.75,72.25,1.0
1692714246797,99.75,72.5,1.0
1692714246889,99.75,72.25,1.0
1692714246980,100.0,72.5,1.0
1692714247071,99.75,72.5,0.0
1692714247162,100.0,72.5,1.0
1692714247253,99.75,72.5,0.0
1692714247344,99.75,72.5,1.0
1692714247436,99.75,72.25,1.0
1692714247527,99.75,72.25,1.0
1692714247619,99.75,72.5,1.0
1692714247711,100.0,72.5,1.0
1692714247802,99.75,72.5,0.0
1692714247893,99.75,72.5,1.0
1692714247985,99.75,72.25,1.0
1692714248076,99.75,72.5,1.0
1692714248167,99.75,72.25,1.0
1692714248258,99.75,72.5,1.0
1692714248350,99.75,72.5,1.0
1692714248441,99.75,72.5,1.0
1692714248532,100.0,72.25,1.0
1692714248624,99.75,72.5,0.0
1692714248716,99.75,72.25,1.0
1692714248808,99.75,72.5,1.0
1692714248900,99.75,72.5,1.0
1692714248991,99.75,72.5,1.0
1692714249083,99.75,72.5,1.0
1692714249175,99.75,72.5,1.0
1692714249267,99.75,72.5,1.0
1692714249359,99.75,72.5,1.0
1692714249450,99.75,72.5,1.0
1692714249541,99.75,72.5,1.0
1692714249632,99.75,72.5,1.0
1692714249723,99.75,72.25,1.0
1692714249814,100.0,72.5,1.0
1692714249906,99.75,72.5,0.0
1692714249997,99.75,72.5,1.0
1692714250089,99.75,72.5,1.0
1692714250180,99.75,72.25,1.0
1692714250271,99.75,72.5,1.0
1692714250362,99.75,72.5,1.0
1692714250454,99.75,72.5,1.0
1692714250547,99.75,72.5,1.0
1692714250639,99.75,72.5,1.0
1692714250730,99.75,72.5,1.0
1692714250821,99.75,72.5,1.0
1692714250913,99.75,72.5,1.0
1692714251004,99.75,72.5,1.0
1692714251097,99.75,72.5,1.0
1692714251188,99.75,72.5,1.0
1692714251279,99.75,72.5,1.0
1692714251371,99.75,72.5,1.0
1692714251463,99.75,72.5,1.0
1692714251554,99.75,72.5,1.0
1692714251646,99.75,72.5,1.0
1692714251738,99.75,72.5,1.0
1692714251829,99.75,72.5,1.0
1692714251920,99.75,72.5,1.0
1692714252012,99.75,72.5,1.0
1692714252103,99.75,72.5,1.0
1692714252196,99.75,72.5,1.0
1692714252287,99.75,72.5,1.0
1692714252379,99.75,72.25,1.0
1692714252471,99.75,72.5,1.0
1692714252563,99.75,72.5,1.0
1692714252655,99.75,72.5,1.0
1692714252747,99.75,72.5,1.0
1692714252839,99.75,72.25,1.0
1692714252930,99.75,72.25,1.0
1692714253022,99.75,72.5,1.0
1692714253114,99.75,72.5,1.0
1692714253206,99.75,72.5,1.0
1692714253297,99.5,72.5,1.0
1692714253389,99.75,72.5,1.0
1692714253480,99.75,72.5,1.0
1692714253571,99.75,72.5,1.0
1692714253662,99.75,72.5,1.0
1692714253754,99.75,72.5,1.0
1692714253845,99.75,72.5,1.0
1692714253936,99.75,72.5,1.0
1692714254028,99.75,72.5,1.0
